year,yearly_revenue,cumulative_revenue
1992,3756905404,3756905404
1993,3881952707,7638858111
1994,5928752504,13567610615
1995,6207143123,19774753738
1996,6808007511,26582761249
1997,9634746300,36217507549
1998,8223101034,44440608583
1999,10332740909,54773349492
2000,10952218337,65725567829
2001,13269869789,78995437618
2002,14609857556,93605295174
2003,14213319458,107818614632
2004,16278686567,124097301199
2005,14931589218,139028890417
2006,16635892750,155664783167
2007,16491621655,172156404822
2008,18146479803,190302884625
2009,21072651506,211375536131
2010,20348574768,231724110899
2011,20516921160,252241032059
2012,24141710246,276382742305
2013,23411493295,299794235600
2014,24120490589,323914726189
2015,22775024221,346689750410
2016,14461156948,361150907358
