name,film_count,avg_revenue
Steven Spielberg,27,338792339.41
Clint Eastwood,20,125602944.4
Robert Rodriguez,17,65541151.82
Martin Scorsese,17,115096235.18
Ridley Scott,16,199347374.81
Renny Harlin,15,68766706.0
Tim Burton,14,238387017.21
Steven Soderbergh,14,151061745.93
Robert Zemeckis,13,276201692.46
Oliver Stone,13,98311431.92
Joel Schumacher,13,110541276.69
Woody Allen,12,55758419.83
Tony Scott,12,155660061.58
Peter Farrelly,12,114221407.25
Michael Bay,12,486043719.83
Brian De Palma,12,76768395.92
Wes Craven,11,69968331.64
Ron Howard,11,261580958.82
Richard Donner,11,118560042.82
Kevin Smith,11,22303915.82
Bobby Farrelly,11,121656172.64
Shawn Levy,10,221858706.3
Rob Reiner,10,80379747.7
Richard Linklater,10,31153203.7
Quentin Tarantino,10,153096869.4
Paul W.S. Anderson,10,130186174.0
Joel Coen,10,95846638.2
Francis Ford Coppola,10,88604436.5
David Fincher,10,213934632.5
Spike Lee,9,37846530.11
Rob Cohen,9,150562222.22
Peter Jackson,9,722071424.44
M. Night Shyamalan,9,272483881.11
John Carpenter,9,28434219.89
Chris Columbus,9,413959055.89
Barry Levinson,9,123250247.78
Stephen Frears,8,47301392.75
Sam Raimi,8,391612682.75
Roland Emmerich,8,369602630.0
Phillip Noyce,8,131971485.13
Lasse Hallström,8,70268067.75
John McTiernan,8,146300037.5
Jay Roach,8,215318779.5
George Miller,8,146626780.5
F. Gary Gray,8,94790926.88
Dennis Dugan,8,172495191.63
Danny Boyle,8,93449068.38
Christopher Nolan,8,528435404.25
Bryan Singer,8,351029375.13
Brett Ratner,8,220502662.0
Antoine Fuqua,8,97501640.0
Alfred Hitchcock,8,11437500.0
Adam Shankman,8,109195346.63
Zack Snyder,7,353742483.86
Wolfgang Petersen,7,230716583.29
Wes Anderson,7,59034326.0
Tom Shadyac,7,189882125.43
Todd Phillips,7,188627625.0
Simon West,7,154448457.14
Sam Mendes,7,387649829.86
Paul Greengrass,7,201964497.43
Martin Campbell,7,264906421.71
Marc Forster,7,201298420.57
Lilly Wachowski,7,291790424.14
Lana Wachowski,7,291790424.14
John Singleton,7,90344356.0
James Cameron,7,840509919.86
Ivan Reitman,7,129339972.57
Harold Ramis,7,79540395.71
Guy Ritchie,7,154368841.29
Gore Verbinski,7,453859051.0
Garry Marshall,7,205884428.57
Ethan Coen,7,102923953.14
Edward Zwick,7,162208269.0
Doug Liman,7,191737236.0
