title,budget,revenue,roi
The Blair Witch Project,60000,248000000,4133.33
Super Size Me,65000,28575078,439.62
The Gallows,100000,42664410,426.64
Open Water,130000,54667954,420.52
The Texas Chain Saw Massacre,85000,30859000,363.05
Bambi,858000,267447150,311.71
The Stewardesses,100000,27000000,270.0
Night of the Living Dead,114000,30000000,263.16
Mad Max,400000,100000000,250.0
Halloween,300000,70000000,233.33
American Graffiti,777000,140000000,180.18
Once,160000,20710513,129.44
Snow White and the Seven Dwarfs,1488423,184925486,124.24
Rocky,1000000,117235147,117.24
Clerks,27000,3151130,116.71
Napoleon Dynamite,400000,46118097,115.3
Facing the Giants,100000,10178331,101.78
The Devil Inside,1000000,101758490,101.76
Sweet Sweetback's Baadasssss Song,150000,15200000,101.33
Gone with the Wind,4000000,400176459,100.04
The Big Parade,245000,22000000,89.8
Saw,1200000,103911669,86.59
The Evil Dead,350000,29400000,84.0
E.T. the Extra-Terrestrial,10500000,792910554,75.52
My Big Fat Greek Wedding,5000000,368744044,73.75
The Full Monty,3500000,257850122,73.67
Per un pugno di dollari,200000,14500000,72.5
Star Wars,11000000,775398007,70.49
Jaws,7000000,470654000,67.24
Fireproof,500000,33456317,66.91
Crocodile Dundee,5000000,328203506,65.64
Insidious,1500000,97009150,64.67
Unfriended,1000000,62882090,62.88
Dr. No,950000,59600000,62.74
Paranormal Activity 2,3000000,177512032,59.17
Woodstock,600000,34505110,57.51
The Exorcist,8000000,441306145,55.16
Pi,60000,3221152,53.69
Animal House,2700000,141000000,52.22
Goldfinger,2500000,124881062,49.95
Chasing Amy,250000,12021272,48.09
An Inconvenient Truth,1000000,46243000,46.24
Blazing Saddles,2600000,119500000,45.96
Four Weddings and a Funeral,6000000,254700832,42.45
Roger & Me,160000,6706368,41.91
Paranormal Activity 3,5000000,205703818,41.14
The Godfather,6000000,245066411,40.84
Psycho,806948,32000000,39.66
From Russia with Love,2000000,78898765,39.45
Annabelle,6500000,255273813,39.27
Saw II,4000000,152925093,38.23
The Last Exorcism,1800000,67738090,37.63
Tom Jones,1000000,37600000,37.6
Fantasia,2280000,83320000,36.54
One Flew Over the Cuckoo's Nest,3000000,108981275,36.33
Das Leben der Anderen,2000000,70000000,35.0
The Sound of Music,8200000,286214286,34.9
Courageous,1000000,34522221,34.52
Kingdom of the Spiders,500000,17000000,34.0
Pretty Woman,14000000,463000000,33.07
Police Academy,4500000,146198896,32.49
Pinocchio,2600000,84300000,32.42
Porky's,4000000,125728258,31.43
Juno,7500000,231411584,30.85
Young Frankenstein,2800000,86273333,30.81
Grease,6000000,181813770,30.3
Lost in Translation,4000000,119723856,29.93
The Empire Strikes Back,18000000,538400000,29.91
The Purge,3000000,89328627,29.78
The Sting,5500000,159616327,29.02
Paranormal Activity 4,5000000,142817992,28.56
The King's Speech,15000000,414211549,27.61
Pulp Fiction,8000000,213928762,26.74
Death Race 2000,300000,8000000,26.67
Home Alone,18000000,476684675,26.48
Tupac: Resurrection,300000,7808524,26.03
Sinister,3000000,77712439,25.9
Dope,700000,17986781,25.7
Thunderball,5500000,141195658,25.67
The Fault in Our Stars,12000000,307166834,25.6
Your Sister's Sister,125000,3200000,25.6
Black Swan,13000000,327803731,25.22
Slumdog Millionaire,15000000,377910544,25.19
Sling Blade,1000000,24475416,24.48
The Conjuring,13000000,318000141,24.46
A Haunted House,2500000,60141683,24.06
Magic Mike,7000000,167221571,23.89
Airplane!,3500000,83453539,23.84
"The Beast from 20,000 Fathoms",210000,5000000,23.81
Top Gun,15000000,356830601,23.79
American Beauty,15000000,356296601,23.75
Flashdance,4000000,92921203,23.23
